Tweet_lemmatized
"['ummahaha', '👀😷', 'httpstcopsfagnxqki']"
"['chapstick', '👀😷', 'httpstcorjzdsjldzh']"
"['madherries', '👀😷', 'httpstcofgwwaywx']"
"['elvenarcher', '👀😷', 'httpstcomioqutqyc']"
"['dezidoesit', '👀😷', 'httpstcowrlotkjwml']"
"['katsully', '👀😷', 'httpstcovbncdfzvdh']"
"['blakekimball', '👀😷', 'httpstcojioejish']"
"['jillboard', '👀😷', 'httpstcojdodbqhll']"
"['dhstark', '👀😷', 'httpstcoiggutbmx']"
"['morgswrld', '👀😷', 'httpstcoyrlqzmbcul']"
"['theresballz', '👀😷', 'httpstcoribmcatj']"
"['markseyelashes', '👀😷', 'httpstcogsofolc']"
"['deccatori', '👀😷', 'httpstcotwmzbowcjh']"
"['theprofessordi', '👀😷', 'httpstcofcyixwdil']"
"['taraslone', '👀😷', 'httpstcomljelzruxi']"
"['colonelfalafel', '👀😷', 'httpstcowbwmruxiy']"
"['lightstairs', '👀😷', 'httpstcokuxxswdoa']"
"['endocrimes', 'hudson', 'yard']"
"['pashh', '👀😷', 'httpstcohcqiyz']"
"['endocrimes', '👀😷', 'httpstcogwvhlaloh']"
"['caitlindineen', '😘😷']"
"['tog', '👀😷', 'httpstcoldvsgogko']"
"['caitlindineen', '👀😷', 'httpstconpxszvkam']"
"['teambryguy', '👀😷', 'httpstcolpfmoi']"
"['brettcohenshow', '👀😷', 'httpstcoicszhoihm']"
"['idkdenice', '👀😷', 'httpstcozilunwhtj']"
"['txnyam', '👀😷', 'httpstcodubkdcjy']"
['charlidamelio']
"['neonnuisance', 'deserve', 'happiness']"
"['paul', 'rudd', 'must', 'want', 'edit', 'button']"
"['blndls', 'one']"
"['theniptunes', 'best', 'profile', 'look', 'like', 'httpstcozfsubirmil']"
"['seungminavocado', 'streaming', 'back', 'door', 'stream', 'back', 'door']"
"['monipersona', 'twitter', 'brain', 'notification', 'turned']"
"['ashnicholsart', 'either', 'work', 'u']"
"['beerfiend', 'model', 'behavior']"
"['reapsii', 'support']"
"['sydlarge', 'accepting', 'acceptance']"
"['criminalcosta', 'see', 'soon']"
"['gnuman', 'look', 'though']"
"['thetzechun', 'room', 'say', 'let', 'pop']"
"['treydayway', 'wholesome']"
"['stalliminaj', 'different', 'good']"
"['lizmaupin', 'there', 'gap', 'market', 'account']"
"['rt', 'tbrown', 'follow', 'heart', 'kid', 'httpstcovvovybwsg']"
"['simplysnipes', 'model', 'student']"
"['rmetropoliso', 'obsessed']"
"['pauzazuetaz', 'cute', 'sticker', '😉']"
"['satwilite', 'thanking', 'good']"
"['walker', 'look', 'dark', 'mode', 'gorgeous']"
"['mahafuz', 'thinking', 'outside', 'box']"
"['asimriazteam', 'perfection']"
"['redwithgold', 'ok', 'either']"
"['bravinyuri', 'message', 'right', 'need']"
"['ogbeniceejay', 'best']"
"['kellymonster', 'love', 'hustle']"
"['kellymonster', 'following', 'direction']"
"['please', 'wear', 'mask\n\nalso', 'someone', 'screenshot', 'post', 'ig', 'great']"
['realoldpaul']
"['well', 'didnt', 'work', 'httpstcoasohhvq']"
"['goodbeanaltalt', 'replying', 'tweet']"
"['goodbeanaltalt', 'hotpockets', 'happy', 'hot', 'pocket']"
"['acroald', 'sorry', 'felt', 'right', 'moment']"
"['acroald', 'oops', 'again\nhttpstcoyjqmfbk']"
"['veedrasroom', 'level', '', 'quicksand', 'whats', '']"
"['owenlang', 'time', 'work']"
"['laucastrillon', 'yes']"
"['brintrevised', 'exactly']"
"['lifesleepyhead', 'positive']"
"['usopen', 'love']"
"['vraxooo', 'warm', 'welcome']"
"['tavoncooke', 'truly', 'thrilling']"
"['domainechambord', 'favorite', 'chateau']"
"['datdustyy', 'october', 'doesnt', 'spooky']"
"['roooossshhiiiii', 'okay']"
"['vinivinci', 'ignore', 'part']"
"['oh', 'look', 'another', 'month']"
"['three', 'things—\n\n', 'retweets', 'comment', 'changing', 'quote', 'tweets\n\n', 'quote', 'tweet', 'appear', 'right', 'next', 'to…', 'httpstcoujepaqfp']"
"['barastrycova', 'hi']"
"['coffeetan', 'needed', 'stretch']"
"['hammyinmiami', 'mutuals', 'short', 'mutual', 'weirdness']"
"['heonbf', 'make', 'sense']"
"['nliddle', 'got', 'performance', 'mention', 'follow', 'one', 'day', 'really']"
"['denzeldion', 'yes']"
"['ssr', '', 'september', 'summer']"
"['liked', 'tweet', 'ever', '', '\n\na', 'tribute', 'fit', 'king', '\n\nwakandaforever', 'httpstcolpyzmnivop']"
"['mecookiemonster', 'sending', 'cookie', 'httpstcovqbrkviw']"
"['niquotein', 'tweet', 'best']"
"['juliedicaro', 'table']"
"['nexttoecstasy', 'good']"
"['racailleux', 'thing', 'hed', 'probably', 'react', 'scrolling', 'tweet']"
"['georgebacon', 'twitter', 'follower', 'breaking', 'mutual', 'kinda', 'sad']"
"['sidharthsbae', 'correct', 'love']"
"['thegodjihyostan', 'applying', 'low', 'maintenance', 'mutuals']"
"['elliottblackwe', 'sitting', 'debating', '', '', 'minute']"
